class,filename,loc,methods,lcom,tcc,cbo,changes,lines_added,lines_deleted,nlc,authors,fan_in,fan_out
Config,examples\aliases\aliases.py,5,4,0,1.0,11,4,32,5,9.25,3,0,0
AliasedGroup,examples\aliases\aliases.py,3,2,0,1.0,16,8,46,7,6.62,3,0,0
Environment,examples\complex\complex\cli.py,3,3,0,1.0,6,4,20,3,5.75,3,0,0
ComplexCLI,examples\complex\complex\cli.py,2,2,0,1.0,9,10,48,23,7.1,3,0,0
Repo,examples\repo\repo.py,3,3,0,0.667,6,6,23,8,5.17,2,0,0
URL,examples\validation\validation.py,2,1,0,1.0,9,6,36,14,8.33,2,0,0
ParameterSource,src\click\core.py,11,0,0,1.0,6,12,70,46,9.67,4,0,0
Context,src\click\core.py,33,31,171,0.13,75,105,1217,509,16.44,30,0,0
Command,src\click\core.py,30,25,151,0.173,102,142,1695,1080,19.54,46,0,0
_FakeSubclassCheck,src\click\core.py,2,2,0,1.0,8,1,8,0,8.0,1,0,0
_BaseCommand,src\click\core.py,1,0,0,1.0,2,1,7,0,7.0,1,0,0
Group,src\click\core.py,24,19,53,0.209,73,95,1212,558,18.63,32,0,0
_MultiCommand,src\click\core.py,1,0,0,1.0,2,25,227,220,17.88,13,0,0
CommandCollection,src\click\core.py,5,4,0,1.0,19,11,88,32,10.91,4,0,0
Parameter,src\click\core.py,23,21,3,0.486,69,12,70,46,9.67,4,0,0
Option,src\click\core.py,14,12,0,0.727,88,155,1408,732,13.81,58,0,0
Argument,src\click\core.py,9,7,2,0.4,26,41,174,96,6.59,16,0,0
ClickException,src\click\exceptions.py,6,4,0,0.667,13,26,81,48,4.96,8,0,0
UsageError,src\click\exceptions.py,4,2,0,1.0,16,21,87,48,6.43,8,0,0
BadParameter,src\click\exceptions.py,3,2,0,1.0,13,16,74,32,6.62,7,0,0
MissingParameter,src\click\exceptions.py,4,3,0,0.667,18,19,132,61,10.16,10,0,0
NoSuchOption,src\click\exceptions.py,3,2,0,1.0,16,10,62,28,9.0,4,0,0
BadOptionUsage,src\click\exceptions.py,2,1,0,1.0,8,7,23,6,4.14,5,0,0
BadArgumentUsage,src\click\exceptions.py,1,0,0,1.0,1,3,13,4,5.67,2,0,0
NoArgsIsHelpError,src\click\exceptions.py,2,2,0,1.0,8,1,9,0,9.0,1,0,0
FileError,src\click\exceptions.py,3,2,0,1.0,8,13,33,16,3.77,5,0,0
Abort,src\click\exceptions.py,1,0,0,1.0,1,4,6,2,2.0,3,0,0
Exit,src\click\exceptions.py,3,1,0,1.0,5,6,14,3,2.83,3,0,0
HelpFormatter,src\click\formatting.py,13,12,2,0.485,41,32,334,155,15.28,9,0,0
_Option,src\click\parser.py,3,3,0,1.0,23,25,283,229,20.48,5,0,0
_Argument,src\click\parser.py,2,2,0,1.0,20,13,56,25,6.23,6,0,0
