class,filename,loc,methods,lcom,tcc,cbo,changes,lines_added,lines_deleted,nlc,authors,fan_in,fan_out
FlaskTask,examples\celery\src\task_app\__init__.py,1,1,0,1.0,6,0,0,0,0,0,0,0
AuthActions,examples\tutorial\tests\conftest.py,3,3,0,1.0,4,3,19,5,8.0,2,0,0
Recorder,examples\tutorial\tests\test_db.py,1,0,0,1.0,1,0,0,0,0,0,0,0
Flask,src\flask\app.py,40,35,299,0.178,167,24,1710,211,80.04,3,0,0
Blueprint,src\flask\blueprints.py,4,4,3,0.0,35,5,135,24,31.8,3,0,0
NoAppException,src\flask\cli.py,1,0,0,1.0,1,1,4,0,4.0,1,0,0
ScriptInfo,src\flask\cli.py,3,2,0,1.0,20,33,246,164,12.42,11,0,0
AppGroup,src\flask\cli.py,3,2,0,1.0,10,13,87,52,10.69,3,0,0
FlaskGroup,src\flask\cli.py,7,6,9,0.2,43,48,452,292,15.5,14,0,0
CertParamType,src\flask\cli.py,4,2,0,1.0,12,10,69,21,9.0,5,0,0
SeparatedPathType,src\flask\cli.py,2,1,0,1.0,10,20,132,64,9.8,9,0,0
ConfigAttribute,src\flask\config.py,6,5,0,1.0,12,8,46,16,7.75,4,0,0
Config,src\flask\config.py,10,9,4,0.3,53,8,46,16,7.75,4,0,0
_AppCtxGlobals,src\flask\ctx.py,10,9,0,1.0,15,18,119,31,8.33,9,0,0
AppContext,src\flask\ctx.py,13,12,0,0.655,38,67,677,432,16.55,17,0,0
UnexpectedUnicodeError,src\flask\debughelpers.py,1,0,0,1.0,2,1,6,0,6.0,1,0,0
DebugFilesKeyError,src\flask\debughelpers.py,3,2,0,1.0,12,8,55,28,10.38,4,0,0
FormDataRoutingRedirect,src\flask\debughelpers.py,2,1,0,1.0,8,6,76,45,20.17,3,0,0
newcls,src\flask\debughelpers.py,1,1,0,1.0,9,0,0,0,0,0,0,0
ProxyMixin,src\flask\globals.py,1,1,0,1.0,2,0,0,0,0,0,0,0
FlaskProxy,src\flask\globals.py,1,0,0,1.0,2,0,0,0,0,0,0,0
AppContextProxy,src\flask\globals.py,1,0,0,1.0,2,0,0,0,0,0,0,0
_AppCtxGlobalsProxy,src\flask\globals.py,1,0,0,1.0,2,0,0,0,0,0,0,0
RequestProxy,src\flask\globals.py,1,0,0,1.0,2,0,0,0,0,0,0,0
SessionMixinProxy,src\flask\globals.py,1,0,0,1.0,2,0,0,0,0,0,0,0
SessionMixin,src\flask\sessions.py,6,2,0,1.0,11,30,280,252,17.73,13,0,0
SecureCookieSession,src\flask\sessions.py,7,4,0,1.0,15,13,90,45,10.38,5,0,0
NullSession,src\flask\sessions.py,4,1,0,1.0,11,9,30,13,4.78,5,0,0
SessionInterface,src\flask\sessions.py,16,13,0,1.0,18,32,361,188,17.16,13,0,0
SecureCookieSessionInterface,src\flask\sessions.py,9,3,1,0.333,40,29,248,146,13.59,11,0,0
Environment,src\flask\templating.py,2,1,0,1.0,6,8,26,13,4.88,4,0,0
DispatchingJinjaLoader,src\flask\templating.py,7,6,0,0.733,24,24,220,146,15.25,8,0,0
EnvironBuilder,src\flask\testing.py,3,2,0,1.0,19,32,181,120,9.41,10,0,0
FlaskClient,src\flask\testing.py,9,7,0,0.571,41,43,452,296,17.4,11,0,0
FlaskCliRunner,src\flask\testing.py,3,2,0,1.0,11,8,44,10,6.75,4,0,0
