class,filename,loc,methods,lcom,tcc,cbo,changes,lines_added,lines_deleted,nlc,authors,fan_in,fan_out
FlaskyStyle,docs\_themes\flask_theme_support.py,3,0,0,1.0,16,1,80,0,80.0,1,0,0
BaseAdapter,src\requests\adapters.py,4,3,0,1.0,2,6,40,10,8.33,4,0,0
HTTPAdapter,src\requests\adapters.py,17,15,5,0.444,101,170,1212,658,11.0,56,0,0
AuthBase,src\requests\auth.py,2,1,0,1.0,1,5,15,8,4.6,4,0,0
HTTPBasicAuth,src\requests\auth.py,5,4,0,1.0,9,10,37,14,5.1,8,0,0
HTTPProxyAuth,src\requests\auth.py,2,1,0,1.0,4,7,13,5,2.57,6,0,0
HTTPDigestAuth,src\requests\auth.py,9,8,0,0.81,54,76,720,512,16.21,38,0,0
MockRequest,src\requests\cookies.py,15,14,28,0.288,12,20,118,38,7.8,10,0,0
MockResponse,src\requests\cookies.py,4,3,0,1.0,3,4,24,3,6.75,4,0,0
CookieConflictError,src\requests\cookies.py,1,0,0,1.0,1,3,8,2,3.33,3,0,0
RequestsCookieJar,src\requests\cookies.py,25,24,60,0.045,32,32,450,186,19.88,19,0,0
RequestException,src\requests\exceptions.py,2,1,0,1.0,7,10,30,15,4.5,8,0,0
InvalidJSONError,src\requests\exceptions.py,1,0,0,1.0,1,1,4,0,4.0,1,0,0
JSONDecodeError,src\requests\exceptions.py,3,2,0,1.0,5,3,24,0,8.0,3,0,0
HTTPError,src\requests\exceptions.py,1,0,0,1.0,1,6,11,7,3.0,5,0,0
ConnectionError,src\requests\exceptions.py,1,0,0,1.0,1,5,8,4,2.4,4,0,0
ProxyError,src\requests\exceptions.py,1,0,0,1.0,1,1,4,0,4.0,1,0,0
SSLError,src\requests\exceptions.py,1,0,0,1.0,1,2,4,0,2.0,2,0,0
Timeout,src\requests\exceptions.py,1,0,0,1.0,1,3,12,3,5.0,2,0,0
ConnectTimeout,src\requests\exceptions.py,1,0,0,1.0,2,4,12,5,4.25,2,0,0
ReadTimeout,src\requests\exceptions.py,1,0,0,1.0,1,3,5,1,2.0,3,0,0
